Neighbourhood,Neighbourhood Id,Total Population
West Humber-Clairville,1,33312
Mount Olive-Silverstone-Jamestown,2,32954
Thistletown-Beaumond Heights,3,10360
Rexdale-Kipling,4,10529
Elms-Old Rexdale,5,9456
Kingsview Village-The Westway,6,22000
Willowridge-Martingrove-Richview,7,22156
Humber Heights-Westmount,8,10948
Edenbridge-Humber Valley,9,15535
Princess-Rosethorn,10,11051
Eringate-Centennial-West Deane,11,18588
Markland Wood,12,10554
Etobicoke West Mall,13,11848
Islington-City Centre West,14,43965
Kingsway South,15,9271
Stonegate-Queensway,16,25051
Mimico,17,33964
New Toronto,18,11463
Long Branch,19,10084
Alderwood,20,12054
Humber Summit,21,12416
Humbermede,22,15545
Pelmo Park-Humberlea,23,10722
Black Creek,24,21737
Glenfield-Jane Heights,25,30491
Downsview-Roding-CFB,26,35052
York University Heights,27,27593
Rustic,28,9941
Maple Leaf,29,10111
Brookhaven-Amesbury,30,17757
Yorkdale-Glen Park,31,14804
Englemount-Lawrence,32,22372
Clanton Park,33,16472
Bathurst Manor,34,15873
Westminster-Branson,35,26274
Newtonbrook West,36,23831
Willowdale West,37,16936
Lansing-Westgate,38,16164
Bedford Park-Nortown,39,23236
St.Andrew-Windfields,40,17812
Bridle Path-Sunnybrook-York Mills,41,9266
Banbury-Don Mills,42,27695
Victoria Village,43,17510
Flemingdon Park,44,21933
Parkwoods-Donalda,45,34805
Pleasant View,46,15818
Don Valley Village,47,27051
Hillcrest Village,48,16934
Bayview Woods-Steeles,49,13154
Newtonbrook East,50,16097
Willowdale East,51,50434
Bayview Village,52,21396
Henry Farm,53,15723
O'Connor-Parkview,54,18675
Thorncliffe Park,55,21108
Leaside-Bennington,56,16828
Broadview North,57,11499
Old East York,58,9233
Danforth-East York,59,17180
Woodbine-Lumsden,60,7865
Taylor-Massey,61,15683
East End-Danforth,62,21381
The Beaches,63,21567
Woodbine Corridor,64,12541
Greenwood-Coxwell,65,14417
Danforth,66,9666
Playter Estates-Danforth,67,7804
North Riverdale,68,11916
Blake-Jones,69,7727
South Riverdale,70,27876
Cabbagetown-South St.James Town,71,11669
Regent Park,72,10803
Moss Park,73,20506
North St.James Town,74,18615
Church-Yonge Corridor,75,31340
Bay Street Corridor,76,25797
Waterfront Communities-The Island,77,65913
Kensington-Chinatown,78,17945
University,79,7607
Palmerston-Little Italy,80,13826
Trinity-Bellwoods,81,16556
Niagara,82,31180
Dufferin Grove,83,11785
Little Portugal,84,15559
,,
Roncesvalles,86,14974
High Park-Swansea,87,23925
High Park North,88,22162
Runnymede-Bloor West Village,89,10070
Junction Area,90,14366
Weston-Pellam Park,91,11098
Corso Italia-Davenport,92,14133
Dovercourt-Wallace Emerson-Juncti,93,36625
Wychwood,94,14349
Annex,95,30526
Casa Loma,96,10968
Yonge-St.Clair,97,12528
Rosedale-Moore Park,98,20923
Mount Pleasant East,99,16775
Yonge-Eglinton,100,11817
Forest Hill South,101,10732
Forest Hill North,102,12806
Lawrence Park South,103,15179
Mount Pleasant West,104,29658
Lawrence Park North,105,14607
Humewood-Cedarvale,106,14365
Oakwood Village,107,21210
Briar Hill-Belgravia,108,14257
Caledonia-Fairbank,109,9955
Keelesdale-Eglinton West,110,11058
Rockcliffe-Smythe,111,22246
Beechborough-Greenbrook,112,6577
Weston,113,17992
Lambton Baby Point,114,7985
Mount Dennis,115,13593
Steeles,116,24623
L'Amoreaux,117,43993
Tam O'Shanter-Sullivan,118,27446
Wexford/Maryvale,119,27917
Clairlea-Birchmount,120,26984
Oakridge,121,13845
Birchcliffe-Cliffside,122,22291
Cliffcrest,123,15935
Kennedy Park,124,17123
Ionview,125,13641
Dorset Park,126,25003
Bendale,127,29960
Agincourt South-Malvern West,128,23757
Agincourt North,129,29113
Milliken,130,26572
Rouge,131,46496
Malvern,132,43794
Centennial Scarborough,133,13362
Highland Creek,134,12494
Morningside,135,17455
West Hill,136,27392
Woburn,137,53485
Eglinton East,138,22776
Scarborough Village,139,16724
Guildwood,140,9917
